2023-04-05T19:59:17.972 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerHandler::AnalyzeLogFile ]   Autodesk::LogAnalyzerHandler::AnalyzeLogFile 
2023-04-05T19:59:17.973 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerHandler::GetLogFilePath ]   Autodesk::LogAnalyzerHandler::GetLogFilePath 
2023-04-05T19:59:17.974 [Log Analyzer: 15144, single] [LogAnalyzer WARN] [ Autodesk::LogAnalyzerHandler::AnalyzeLogFile ]   log file does not exist: C:\Users\Deepak\AppData\Local\Temp\AdobeSubstance3DforMaya-2.3.2-2024-msvc14-x86_64_2024_install.log 
2023-04-05T19:59:17.975 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::SendResponse ]   send message: {"command":"ANALYZE_LOG_FILE","response":{"errorInfo":{"errorCode":"","errorContext":"","errorString":""}},"source":"DDA_LA","target":"DDA_CORE","version":"DDA_V1"} 
2023-04-05T20:07:53.617 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"EXIT_REQUEST","request":{"eventSource":7,"eventTarget":5},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-04-05T20:07:53.617 [Log Analyzer: 15144, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::HandleIPCMessage ]   Exit command received. Stop LogAnalyzer 
2023-04-05T20:07:53.617 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   Autodesk::LogAnalyzerClient::BreakConnection 
2023-04-05T20:07:53.618 [Log Analyzer: 15144, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   destroying IPC channel... 
2023-04-05T20:07:53.618 [Log Analyzer: 15144, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   Finish waiting for connection... 
2023-04-05T20:07:53.618 [Log Analyzer: 15144, single] [LogAnalyzer INFO] [ main ]   Log Analyzer exited 
2023-04-07T17:04:03.705 [Log Analyzer: 13596, single] [LogAnalyzer INFO] ======================== Start LogAnalyzer ========================
2023-04-07T17:04:03.707 [Log Analyzer: 13596, single] [LogAnalyzer INFO] Version : 1.39.0.3
2023-04-07T17:04:03.707 [Log Analyzer: 13596, single] [LogAnalyzer INFO] OS-Name : Windows
2023-04-07T17:04:03.707 [Log Analyzer: 13596, single] [LogAnalyzer INFO] OS-Version : 10.0
2023-04-07T17:04:03.707 [Log Analyzer: 13596, single] [LogAnalyzer INFO] OS-Locale : en-IN
2023-04-07T17:04:03.707 [Log Analyzer: 13596, single] [LogAnalyzer INFO] Running-Mode : root
